State;Murder;Assault;UrbanPop;Rape
alabama;13.2;236;58;21.2
arizona;8.1;294;80;31
arkansas;8.8;190;50;19.5
california;9;276;91;40.6
colorado;7.9;204;78;38.7
connecticut;3.3;110;77;11.1
delaware;5.9;238;72;15.8
florida;15.4;335;80;31.9
georgia;17.4;211;60;25.8
hawaii;5.3;46;83;20.2
idaho;2.6;120;54;14.2
illinois;10.4;249;83;24
indiana;7.2;113;65;21
iowa;2.2;56;57;11.3
kansas;6;115;66;18
kentucky;9.7;109;52;16.3
louisiana;15.4;249;66;22.2
maine;2.1;83;51;7.8
maryland;11.3;300;67;27.8
massachusetts;4.4;149;85;16.3
michigan;12.1;255;74;35.1
minnesota;2.7;72;66;14.9
mississippi;16.1;259;44;17.1
missouri;9;178;70;28.2
montana;6;109;53;16.4
nebraska;4.3;102;62;16.5
nevada;12.2;252;81;46
new hampshire;2.1;57;56;9.5
new jersey;7.4;159;89;18.8
new mexico;11.4;285;70;32.1
new york;11.1;254;86;26.1
north carolina;13;337;45;16.1
north dakota;0.8;45;44;7.3
ohio;7.3;120;75;21.4
oklahoma;6.6;151;68;20
oregon;4.9;159;67;29.3
pennsylvania;6.3;106;72;14.9
rhode island;3.4;174;87;8.3
south carolina;14.4;279;48;22.5
south dakota;3.8;86;45;12.8
tennessee;13.2;188;59;26.9
texas;12.7;201;80;25.5
utah;3.2;120;80;22.9
vermont;2.2;48;32;11.2
virginia;8.5;156;63;20.7
washington;4;145;73;26.2
west virginia;5.7;81;39;9.3
wisconsin;2.6;53;66;10.8
wyoming;6.8;161;60;15.6
